G-TEC JAINX EDUCATION LIMITED,GTECJAINX
Pennar Industries Limited,PENIND
Peninsula Land Limited,PENINLAND
Persistent Systems Limited,PERSISTENT
Petronet LNG Limited,PETRONET
Power Finance Corporation Limited,PFC
Pfizer Limited,PFIZER
Prime Focus Limited,PFOCUS
PTC India Financial Services Limited,PFS
PG Electroplast Limited,PGEL
Procter & Gamble Hygiene and Health Care Limited,PGHH
Procter & Gamble Health Limited,PGHL
Pearl Global Industries Limited,PGIL
The Phoenix Mills Limited,PHOENIXLTD
